Datum;Tag;Monat;Jahr;Standort;Produkthauptgruppe;Produktgruppe;Menge
2002-01-18;18;1;2002;BY;Lebensmittel;Gebäck;13
2002-01-18;18;1;2002;HS;Schreibwaren;Papier;13
2002-01-19;19;1;2002;HS;Zeitschriften;Magazin;13
2002-01-19;19;1;2002;BY;Lebensmittel;Gebäck;7
2002-01-19;19;1;2002;HS;Zeitschriften;Tageszeitung;13
2002-01-19;19;1;2002;BY;Zeitschriften;Tageszeitung;4
2002-01-19;19;1;2002;HS;Schreibwaren;Papier;5
2002-01-19;19;1;2002;BW;Schreibwaren;Stifte;11
2002-01-19;19;1;2002;HS;Schreibwaren;Papier;4
2002-01-19;19;1;2002;HS;Schreibwaren;Stifte;9
2002-01-19;19;1;2002;HS;Zeitschriften;Magazin;7
2002-01-20;20;1;2002;BY;Zeitschriften;Magazin;13
2002-01-20;20;1;2002;RP;Schreibwaren;Papier;9
2002-01-20;20;1;2002;BY;Lebensmittel;Gebäck;13
2002-01-20;20;1;2002;RP;Schreibwaren;Papier;10
2002-01-20;20;1;2002;BW;Zeitschriften;Tageszeitung;10
2002-01-20;20;1;2002;BY;Lebensmittel;Gebäck;3
2002-01-21;21;1;2002;BW;Lebensmittel;Süsses;1
2002-01-21;21;1;2002;BY;Lebensmittel;Süsses;10
2002-01-21;21;1;2002;BY;Lebensmittel;Süsses;9
2002-01-22;22;1;2002;HS;Schreibwaren;Stifte;7
2002-01-22;22;1;2002;BW;Lebensmittel;Süsses;6
2002-01-22;22;1;2002;BY;Zeitschriften;Magazin;2
2002-01-22;22;1;2002;BY;Lebensmittel;Süsses;6
2002-01-22;22;1;2002;BW;Zeitschriften;Magazin;8
2002-01-23;23;1;2002;BW;Lebensmittel;Gebäck;6
2002-01-23;23;1;2002;HS;Lebensmittel;Süsses;7
2002-01-23;23;1;2002;BW;Lebensmittel;Süsses;12
2002-01-23;23;1;2002;RP;Schreibwaren;Stifte;2
2002-01-23;23;1;2002;RP;Schreibwaren;Stifte;13
2002-01-23;23;1;2002;BW;Lebensmittel;Gebäck;5
2002-01-23;23;1;2002;HS;Zeitschriften;Magazin;10
2002-01-23;23;1;2002;HS;Zeitschriften;Magazin;7
2002-01-23;23;1;2002;RP;Zeitschriften;Tageszeitung;1
2002-01-23;23;1;2002;BY;Zeitschriften;Tageszeitung;8
2002-01-23;23;1;2002;HS;Schreibwaren;Stifte;2
2002-01-23;23;1;2002;RP;Schreibwaren;Papier;6
2002-01-24;24;1;2002;BY;Zeitschriften;Tageszeitung;13
2002-01-24;24;1;2002;HS;Zeitschriften;Magazin;11
2002-01-24;24;1;2002;BW;Zeitschriften;Tageszeitung;11
2002-01-24;24;1;2002;BW;Lebensmittel;Gebäck;5
2002-01-24;24;1;2002;RP;Zeitschriften;Magazin;1
2002-01-25;25;1;2002;HS;Zeitschriften;Magazin;10
2002-01-25;25;1;2002;BW;Zeitschriften;Tageszeitung;5
2002-01-26;26;1;2002;RP;Schreibwaren;Stifte;10
2002-01-26;26;1;2002;HS;Schreibwaren;Papier;4
2002-01-26;26;1;2002;RP;Schreibwaren;Stifte;8
2002-01-26;26;1;2002;BW;Lebensmittel;Süsses;4
2002-01-27;27;1;2002;HS;Lebensmittel;Gebäck;3
2002-01-27;27;1;2002;BY;Lebensmittel;Gebäck;2
2002-01-27;27;1;2002;RP;Lebensmittel;Süsses;13
2002-01-27;27;1;2002;RP;Lebensmittel;Gebäck;9
2002-01-28;28;1;2002;BY;Schreibwaren;Papier;9
2002-01-28;28;1;2002;BY;Zeitschriften;Tageszeitung;12
2002-01-28;28;1;2002;BY;Lebensmittel;Gebäck;7
2002-01-28;28;1;2002;BY;Zeitschriften;Magazin;10
2002-01-28;28;1;2002;RP;Zeitschriften;Tageszeitung;13
2002-01-28;28;1;2002;RP;Schreibwaren;Papier;5
2002-01-29;29;1;2002;HS;Schreibwaren;Papier;6
2002-01-29;29;1;2002;HS;Zeitschriften;Magazin;3
2002-01-29;29;1;2002;BY;Zeitschriften;Tageszeitung;3
2002-01-29;29;1;2002;BW;Lebensmittel;Gebäck;3
2002-01-29;29;1;2002;BW;Lebensmittel;Süsses;9
2002-01-29;29;1;2002;RP;Schreibwaren;Papier;11
2002-01-30;30;1;2002;RP;Schreibwaren;Stifte;5
2002-01-30;30;1;2002;BY;Schreibwaren;Papier;5
2002-01-30;30;1;2002;BW;Zeitschriften;Tageszeitung;13
2002-01-30;30;1;2002;RP;Lebensmittel;Gebäck;11
2002-01-30;30;1;2002;BW;Zeitschriften;Magazin;13
2002-01-30;30;1;2002;HS;Schreibwaren;Papier;4
2002-01-30;30;1;2002;BY;Lebensmittel;Gebäck;9
2002-01-30;30;1;2002;RP;Schreibwaren;Papier;3
2002-01-31;31;1;2002;RP;Lebensmittel;Gebäck;5
2002-01-31;31;1;2002;BY;Schreibwaren;Papier;3
2002-01-31;31;1;2002;RP;Schreibwaren;Stifte;7
2002-01-31;31;1;2002;BY;Schreibwaren;Stifte;6
2002-01-31;31;1;2002;BY;Lebensmittel;Gebäck;3
2002-01-31;31;1;2002;BW;Lebensmittel;Süsses;4
2002-01-31;31;1;2002;HS;Zeitschriften;Magazin;9
2002-01-31;31;1;2002;RP;Schreibwaren;Papier;4
2002-01-31;31;1;2002;BY;Zeitschriften;Tageszeitung;10
2002-01-31;31;1;2002;BW;Schreibwaren;Stifte;7
2002-01-31;31;1;2002;HS;Schreibwaren;Stifte;3
2002-02-01;1;2;2002;RP;Zeitschriften;Tageszeitung;6
2002-02-01;1;2;2002;RP;Schreibwaren;Papier;10
2002-02-01;1;2;2002;HS;Zeitschriften;Magazin;2
2002-02-01;1;2;2002;BY;Lebensmittel;Süsses;9
2002-02-01;1;2;2002;BW;Schreibwaren;Papier;10
2002-02-01;1;2;2002;RP;Zeitschriften;Magazin;2
2002-02-01;1;2;2002;BY;Zeitschriften;Tageszeitung;5
2002-02-02;2;2;2002;BY;Lebensmittel;Süsses;3
2002-02-02;2;2;2002;HS;Lebensmittel;Süsses;1
2002-02-02;2;2;2002;RP;Schreibwaren;Stifte;6
2002-02-02;2;2;2002;HS;Zeitschriften;Tageszeitung;10
2002-02-03;3;2;2002;HS;Lebensmittel;Süsses;5
2002-02-04;4;2;2002;BW;Lebensmittel;Süsses;9
2002-02-04;4;2;2002;BW;Schreibwaren;Papier;10
2002-02-04;4;2;2002;HS;Zeitschriften;Magazin;8
2002-02-04;4;2;2002;RP;Lebensmittel;Gebäck;3
2002-02-04;4;2;2002;BW;Lebensmittel;Süsses;4
2002-02-04;4;2;2002;BW;Lebensmittel;Gebäck;12
2002-02-04;4;2;2002;BW;Schreibwaren;Stifte;13
2002-02-04;4;2;2002;BY;Zeitschriften;Magazin;8
2002-02-05;5;2;2002;BW;Lebensmittel;Gebäck;13
2002-02-05;5;2;2002;HS;Zeitschriften;Magazin;10
2002-02-05;5;2;2002;BW;Lebensmittel;Süsses;4
2002-02-05;5;2;2002;RP;Schreibwaren;Papier;10
2002-02-06;6;2;2002;BY;Zeitschriften;Magazin;1
2002-02-06;6;2;2002;HS;Zeitschriften;Magazin;6
2002-02-06;6;2;2002;BY;Zeitschriften;Magazin;9
2002-02-06;6;2;2002;BW;Lebensmittel;Süsses;7
2002-02-07;7;2;2002;BY;Lebensmittel;Süsses;5
2002-02-07;7;2;2002;BW;Lebensmittel;Süsses;9
2002-02-07;7;2;2002;BW;Lebensmittel;Süsses;13
2002-02-07;7;2;2002;BY;Lebensmittel;Süsses;6
2002-02-07;7;2;2002;BY;Lebensmittel;Gebäck;12
2002-02-07;7;2;2002;BW;Schreibwaren;Papier;7
2002-02-07;7;2;2002;BW;Lebensmittel;Süsses;4
2002-02-08;8;2;2002;BY;Zeitschriften;Tageszeitung;2
2002-02-08;8;2;2002;HS;Zeitschriften;Tageszeitung;1
2002-02-08;8;2;2002;BW;Lebensmittel;Süsses;1
2002-02-08;8;2;2002;HS;Schreibwaren;Papier;12
2002-02-08;8;2;2002;HS;Schreibwaren;Stifte;7
2002-02-08;8;2;2002;BY;Zeitschriften;Tageszeitung;7
2002-02-08;8;2;2002;HS;Lebensmittel;Süsses;13
2002-02-08;8;2;2002;BW;Zeitschriften;Magazin;12
2002-02-09;9;2;2002;RP;Zeitschriften;Magazin;2
2002-02-09;9;2;2002;HS;Zeitschriften;Tageszeitung;2
2002-02-09;9;2;2002;BW;Lebensmittel;Gebäck;5
2002-02-09;9;2;2002;BY;Lebensmittel;Gebäck;5
2002-02-09;9;2;2002;BW;Zeitschriften;Tageszeitung;12
2002-02-10;10;2;2002;BY;Zeitschriften;Magazin;1
2002-02-10;10;2;2002;RP;Schreibwaren;Papier;7
2002-02-10;10;2;2002;BW;Zeitschriften;Magazin;5
2002-02-10;10;2;2002;BW;Lebensmittel;Süsses;5
2002-02-11;11;2;2002;BW;Lebensmittel;Gebäck;2
2002-02-11;11;2;2002;RP;Lebensmittel;Gebäck;5
2002-02-11;11;2;2002;HS;Zeitschriften;Magazin;10
2002-02-11;11;2;2002;HS;Zeitschriften;Magazin;12
2002-02-12;12;2;2002;BW;Zeitschriften;Magazin;9
2002-02-12;12;2;2002;BY;Lebensmittel;Süsses;8
2002-02-12;12;2;2002;BW;Lebensmittel;Süsses;9
2002-02-12;12;2;2002;BY;Schreibwaren;Papier;8
2002-02-12;12;2;2002;HS;Zeitschriften;Tageszeitung;9
2002-02-12;12;2;2002;HS;Schreibwaren;Papier;2
2002-02-13;13;2;2002;RP;Schreibwaren;Papier;4
2002-02-13;13;2;2002;BY;Lebensmittel;Süsses;2
2002-02-13;13;2;2002;BW;Lebensmittel;Gebäck;11
2002-02-13;13;2;2002;BY;Zeitschriften;Tageszeitung;10
2002-02-14;14;2;2002;HS;Schreibwaren;Papier;5
2002-02-14;14;2;2002;BW;Schreibwaren;Papier;11
2002-02-14;14;2;2002;RP;Schreibwaren;Papier;11
2002-02-14;14;2;2002;HS;Zeitschriften;Magazin;8
2002-02-14;14;2;2002;RP;Schreibwaren;Papier;2
2002-02-14;14;2;2002;RP;Lebensmittel;Gebäck;5
2002-02-14;14;2;2002;HS;Schreibwaren;Papier;13
2002-02-14;14;2;2002;HS;Schreibwaren;Papier;1
2002-02-15;15;2;2002;HS;Lebensmittel;Gebäck;4
2002-02-15;15;2;2002;RP;Schreibwaren;Stifte;10
2002-02-15;15;2;2002;BW;Schreibwaren;Papier;6
2002-02-15;15;2;2002;HS;Zeitschriften;Magazin;6
2002-02-15;15;2;2002;HS;Schreibwaren;Stifte;5
2002-02-15;15;2;2002;BW;Lebensmittel;Süsses;3
2002-02-15;15;2;2002;BW;Schreibwaren;Papier;12
2002-02-15;15;2;2002;BW;Schreibwaren;Stifte;8
2002-02-16;16;2;2002;RP;Schreibwaren;Papier;6
2002-02-16;16;2;2002;HS;Lebensmittel;Süsses;9
2002-02-16;16;2;2002;RP;Zeitschriften;Magazin;2
2002-02-17;17;2;2002;BY;Lebensmittel;Gebäck;8
2002-02-17;17;2;2002;BY;Schreibwaren;Stifte;2
2002-02-17;17;2;2002;RP;Lebensmittel;Gebäck;11
2002-02-17;17;2;2002;BW;Lebensmittel;Gebäck;12
2002-02-17;17;2;2002;BW;Lebensmittel;Süsses;7
2002-02-17;17;2;2002;BW;Zeitschriften;Magazin;5
2002-02-18;18;2;2002;HS;Schreibwaren;Stifte;13
2002-02-18;18;2;2002;HS;Lebensmittel;Süsses;13
2002-02-18;18;2;2002;HS;Schreibwaren;Stifte;4
2002-02-18;18;2;2002;BW;Lebensmittel;Gebäck;11
2002-02-18;18;2;2002;BY;Schreibwaren;Papier;2
2002-02-18;18;2;2002;RP;Schreibwaren;Papier;10
2002-02-19;19;2;2002;BW;Lebensmittel;Süsses;6
2002-02-19;19;2;2002;BW;Schreibwaren;Stifte;10
2002-02-19;19;2;2002;BY;Schreibwaren;Stifte;10
2002-02-20;20;2;2002;BW;Zeitschriften;Tageszeitung;5
2002-02-20;20;2;2002;BY;Zeitschriften;Tageszeitung;2
2002-02-20;20;2;2002;RP;Lebensmittel;Süsses;1
2002-02-20;20;2;2002;RP;Lebensmittel;Süsses;3
2002-02-20;20;2;2002;RP;Zeitschriften;Tageszeitung;8
2002-02-21;21;2;2002;BW;Schreibwaren;Papier;10
2002-02-21;21;2;2002;RP;Schreibwaren;Stifte;12
2002-02-21;21;2;2002;BY;Lebensmittel;Gebäck;11
2002-02-21;21;2;2002;HS;Lebensmittel;Süsses;1
2002-02-21;21;2;2002;BY;Zeitschriften;Magazin;2
2002-02-22;22;2;2002;RP;Lebensmittel;Süsses;3
2002-02-22;22;2;2002;BW;Lebensmittel;Gebäck;5
2002-02-22;22;2;2002;HS;Schreibwaren;Stifte;4
2002-02-23;23;2;2002;BY;Schreibwaren;Papier;7
2002-02-23;23;2;2002;HS;Schreibwaren;Papier;5
2002-02-23;23;2;2002;BY;Lebensmittel;Süsses;7
2002-02-23;23;2;2002;BY;Zeitschriften;Tageszeitung;11
2002-02-23;23;2;2002;RP;Schreibwaren;Stifte;5
2002-02-24;24;2;2002;BW;Lebensmittel;Süsses;13
2002-02-24;24;2;2002;HS;Schreibwaren;Stifte;10
2002-02-24;24;2;2002;RP;Lebensmittel;Gebäck;5
2002-02-24;24;2;2002;HS;Schreibwaren;Stifte;4
2002-02-24;24;2;2002;BW;Schreibwaren;Stifte;9
2002-02-25;25;2;2002;BW;Lebensmittel;Süsses;8
2002-02-25;25;2;2002;BY;Zeitschriften;Magazin;11
2002-02-25;25;2;2002;BY;Zeitschriften;Magazin;6
2002-02-26;26;2;2002;BY;Zeitschriften;Magazin;12
2002-02-26;26;2;2002;BW;Zeitschriften;Tageszeitung;7
2002-02-26;26;2;2002;HS;Schreibwaren;Papier;4
2002-02-26;26;2;2002;BW;Zeitschriften;Magazin;7
2002-02-26;26;2;2002;RP;Lebensmittel;Gebäck;3
2002-02-26;26;2;2002;RP;Lebensmittel;Gebäck;1
2002-02-26;26;2;2002;RP;Zeitschriften;Magazin;13
2002-02-27;27;2;2002;BW;Schreibwaren;Stifte;4
2002-02-27;27;2;2002;BW;Zeitschriften;Magazin;7
2002-02-27;27;2;2002;BY;Zeitschriften;Tageszeitung;1
2002-02-27;27;2;2002;BW;Schreibwaren;Papier;8
2002-02-27;27;2;2002;RP;Zeitschriften;Tageszeitung;3
2002-02-27;27;2;2002;HS;Schreibwaren;Papier;11
2002-02-27;27;2;2002;HS;Lebensmittel;Gebäck;12
2002-02-28;28;2;2002;RP;Schreibwaren;Papier;13
2002-02-28;28;2;2002;BY;Zeitschriften;Magazin;2
2002-02-28;28;2;2002;BY;Zeitschriften;Magazin;8
2002-03-01;1;3;2002;BY;Schreibwaren;Stifte;7
2002-03-01;1;3;2002;HS;Zeitschriften;Magazin;8
2002-03-01;1;3;2002;HS;Schreibwaren;Stifte;7
2002-03-01;1;3;2002;RP;Zeitschriften;Tageszeitung;7
2002-03-01;1;3;2002;BW;Zeitschriften;Magazin;3
2002-03-01;1;3;2002;HS;Schreibwaren;Papier;12
2002-03-01;1;3;2002;HS;Schreibwaren;Stifte;6
2002-03-01;1;3;2002;HS;Zeitschriften;Tageszeitung;12
2002-03-01;1;3;2002;RP;Schreibwaren;Stifte;6
2002-03-01;1;3;2002;HS;Lebensmittel;Gebäck;13
2002-03-01;1;3;2002;RP;Lebensmittel;Süsses;8
2002-03-02;2;3;2002;RP;Zeitschriften;Tageszeitung;10
2002-03-02;2;3;2002;HS;Lebensmittel;Süsses;9
2002-03-02;2;3;2002;RP;Schreibwaren;Stifte;2
2002-03-02;2;3;2002;BY;Lebensmittel;Gebäck;4
2002-03-02;2;3;2002;BY;Lebensmittel;Süsses;13
2002-03-03;3;3;2002;BW;Lebensmittel;Gebäck;1
2002-03-03;3;3;2002;BW;Zeitschriften;Tageszeitung;13
2002-03-03;3;3;2002;RP;Lebensmittel;Gebäck;1
2002-03-04;4;3;2002;HS;Schreibwaren;Papier;13
2002-03-04;4;3;2002;HS;Lebensmittel;Süsses;9
2002-03-04;4;3;2002;BY;Lebensmittel;Süsses;2
2002-03-04;4;3;2002;BW;Zeitschriften;Tageszeitung;11
2002-03-04;4;3;2002;BY;Lebensmittel;Gebäck;8
2002-03-04;4;3;2002;HS;Schreibwaren;Stifte;2
2002-03-04;4;3;2002;BY;Lebensmittel;Süsses;4
2002-03-05;5;3;2002;BY;Zeitschriften;Magazin;3
2002-03-05;5;3;2002;BY;Lebensmittel;Süsses;1
2002-03-05;5;3;2002;RP;Schreibwaren;Stifte;3
2002-03-05;5;3;2002;BW;Lebensmittel;Süsses;6
2002-03-05;5;3;2002;BW;Lebensmittel;Süsses;5
2002-03-06;6;3;2002;HS;Zeitschriften;Magazin;8
2002-03-06;6;3;2002;BW;Schreibwaren;Stifte;7
2002-03-06;6;3;2002;BY;Zeitschriften;Tageszeitung;13
2002-03-06;6;3;2002;HS;Schreibwaren;Stifte;4
2002-03-06;6;3;2002;RP;Lebensmittel;Süsses;8
2002-03-06;6;3;2002;HS;Schreibwaren;Stifte;6
2002-03-06;6;3;2002;BW;Lebensmittel;Gebäck;12
2002-03-06;6;3;2002;RP;Zeitschriften;Magazin;6
2002-03-07;7;3;2002;BY;Schreibwaren;Papier;9
2002-03-07;7;3;2002;HS;Lebensmittel;Gebäck;4
2002-03-07;7;3;2002;BY;Lebensmittel;Süsses;7
2002-03-07;7;3;2002;RP;Lebensmittel;Gebäck;7
2002-03-08;8;3;2002;HS;Zeitschriften;Magazin;9
2002-03-08;8;3;2002;BW;Zeitschriften;Tageszeitung;9
2002-03-08;8;3;2002;BW;Zeitschriften;Magazin;9
2002-03-08;8;3;2002;RP;Zeitschriften;Tageszeitung;4
2002-03-08;8;3;2002;BY;Zeitschriften;Magazin;5
2002-03-08;8;3;2002;BW;Lebensmittel;Gebäck;11
2002-03-08;8;3;2002;BY;Lebensmittel;Süsses;11
2002-03-08;8;3;2002;RP;Schreibwaren;Papier;7
2002-03-08;8;3;2002;BW;Lebensmittel;Gebäck;2
2002-03-08;8;3;2002;BW;Lebensmittel;Gebäck;9
2002-03-09;9;3;2002;BY;Zeitschriften;Magazin;11
2002-03-09;9;3;2002;RP;Lebensmittel;Süsses;2
2002-03-09;9;3;2002;BY;Lebensmittel;Süsses;10
2002-03-09;9;3;2002;RP;Zeitschriften;Tageszeitung;3
2002-03-09;9;3;2002;BW;Schreibwaren;Papier;2
2002-03-09;9;3;2002;RP;Lebensmittel;Gebäck;8
2002-03-09;9;3;2002;BW;Lebensmittel;Süsses;11
2002-03-09;9;3;2002;BY;Schreibwaren;Papier;2
2002-03-09;9;3;2002;RP;Lebensmittel;Süsses;2
2002-03-10;10;3;2002;BW;Lebensmittel;Süsses;8
2002-03-10;10;3;2002;HS;Zeitschriften;Magazin;4
2002-03-10;10;3;2002;RP;Zeitschriften;Tageszeitung;3
2002-03-10;10;3;2002;RP;Lebensmittel;Gebäck;1
2002-03-10;10;3;2002;HS;Lebensmittel;Gebäck;1
2002-03-11;11;3;2002;BW;Schreibwaren;Papier;13
2002-03-11;11;3;2002;BW;Lebensmittel;Gebäck;2
2002-03-11;11;3;2002;RP;Lebensmittel;Süsses;6
2002-03-11;11;3;2002;HS;Schreibwaren;Papier;12
2002-03-11;11;3;2002;BW;Lebensmittel;Süsses;1
2002-03-12;12;3;2002;HS;Schreibwaren;Papier;11
2002-03-12;12;3;2002;BY;Lebensmittel;Süsses;6
2002-03-12;12;3;2002;RP;Lebensmittel;Gebäck;4
2002-03-12;12;3;2002;BW;Lebensmittel;Gebäck;10
2002-03-12;12;3;2002;BW;Schreibwaren;Papier;6
2002-03-12;12;3;2002;BY;Zeitschriften;Magazin;13
2002-03-13;13;3;2002;BW;Lebensmittel;Süsses;7
2002-03-13;13;3;2002;RP;Zeitschriften;Tageszeitung;2
2002-03-13;13;3;2002;BW;Schreibwaren;Papier;6
2002-03-13;13;3;2002;BW;Schreibwaren;Papier;12
2002-03-13;13;3;2002;RP;Schreibwaren;Papier;3
2002-03-14;14;3;2002;BW;Lebensmittel;Gebäck;2
2002-03-14;14;3;2002;HS;Zeitschriften;Magazin;13
2002-03-14;14;3;2002;HS;Schreibwaren;Papier;13
2002-03-14;14;3;2002;RP;Lebensmittel;Süsses;2
2002-03-14;14;3;2002;HS;Lebensmittel;Süsses;13
2002-03-15;15;3;2002;BY;Schreibwaren;Papier;4
2002-03-15;15;3;2002;RP;Zeitschriften;Tageszeitung;5
2002-03-15;15;3;2002;BY;Schreibwaren;Papier;4
2002-03-15;15;3;2002;BY;Zeitschriften;Tageszeitung;2
2002-03-15;15;3;2002;BY;Zeitschriften;Tageszeitung;3
2002-03-15;15;3;2002;HS;Schreibwaren;Stifte;1
2002-03-15;15;3;2002;BW;Schreibwaren;Papier;4
2002-03-16;16;3;2002;HS;Schreibwaren;Papier;3
2002-03-16;16;3;2002;BW;Lebensmittel;Süsses;9
2002-03-16;16;3;2002;RP;Schreibwaren;Papier;12
2002-03-16;16;3;2002;BW;Zeitschriften;Tageszeitung;5
2002-03-16;16;3;2002;HS;Lebensmittel;Gebäck;5
2002-03-17;17;3;2002;BW;Schreibwaren;Papier;7
2002-03-17;17;3;2002;HS;Schreibwaren;Papier;3
2002-03-17;17;3;2002;HS;Schreibwaren;Stifte;7
2002-03-17;17;3;2002;BW;Lebensmittel;Süsses;13
2002-03-17;17;3;2002;HS;Zeitschriften;Tageszeitung;2
2002-03-17;17;3;2002;BY;Schreibwaren;Papier;7
